Vote_ID,Iniciative_ID,Título,Proposed_By,TextLink
126495,263522,Comissão Eventual de Inquérito Parlamentar à atuação do regulador no âmbito da reestruturação acionista do GMG,BE,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a6d4e6a4d7a5978596a4d744d3245785a6930304e546b344c546b314d6a5574595442694f5459335a6d59345a4759774c6d52765933673d&fich=fcc361b3-3a1f-4598-9525-a0b967ff8df0.docx&Inline=true
126496,263542,"Constituição de uma comissão de inquérito parlamentar ao processo de alteração da propriedade do Global Media Group envolvendo o World Opportunity Fund, Lda.",PAN,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a4446694d546c684e3251745954686c5a6930305a4745784c54686a5a4755744e6d526a4d544d314f544268596a646a4c6d52765933673d&fich=d1b19a7d-a8ef-4da1-8cde-6dc13590ab7c.docx&Inline=true
126499,263547,Inquérito Parlamentar sobre a privatização da ANA Aeroportos,PCP,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a4449794e574d354d7a4574596d4a6d4e533030596a686d4c574a6d5a4749745a5755344e6d49344e6d49344d6a45344c6d527659773d3d&fich=d225c931-bbf5-4b8f-bfdb-ee86b86b8218.doc&Inline=true
126500,263568,Regime de comparticipação para nutrição entérica,BE,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576593255355957517a4d4759744e7a41354d793030595451314c5745794d4751744e6d4a6b4e44646a5a474e68596a49354c6d527659773d3d&fich=ce9ad30f-7093-4a45-a20d-6bd47cdcab29.doc&Inline=true
126501,263577,Cria um regime especial de comparticipação do Estado no preço dos alimentos para fins medicinais específicos destinados às pessoas que apresentem risco nutricional associado à doença,PAN,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764f54466b4d324d784f5449745a546334596930304e6d45794c5467354e4445744e6d526c593259324f475531597a566d4c6d52765933673d&fich=91d3c192-e78b-46a2-8941-6decf68e5c5f.docx&Inline=true
126502,263582,Estabelece o regime excecional de comparticipação do Estado no preço da nutrição entérica e define que a dispensa destas terapêuticas é feita pelas farmácias comunitárias,L,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a55344d5442685a6a63744d324a6d4f533030597a4d314c57457a4d6d5574596a686c597a637a4e54646a59574a6a4c6d52765933673d&fich=65810af7-3bf9-4c35-a32e-b8ec7357cabc.docx&Inline=true
126504,263560,Pela comparticipação da dieta completa em pó Modulen IBD para doentes com Doença de Crohn,CH,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576596d5a6d4f4455344d7a6b745a6a49324e4330305a6a4d794c5467795a5459744d6a45334e6a5179597a59784d5467784c6d52765933673d&fich=bff85839-f264-4f32-82e6-217642c61181.docx&Inline=true
126505,263567,Recomenda ao Governo a avaliação da comparticipação de um suplemento alimentar específico para pessoas com doença de Crohn,PSD,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d44646d4f4455785a544574596a41784e6930305a4759784c5745324d446b744d7a67324e32566d4e6a677a5a446b304c6d52765933673d&fich=07f851e1-b016-4df1-a609-3867ef683d94.docx&Inline=true
126506,263576,Recomenda ao Governo que assegure a comparticipação de suplementos alimentares para pessoas com doença de Crohn,PAN,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d7a45304e5441314e3249744d5755335a5330304e6d49344c546b334e324574596a67314d544a69596d51784e6d4e684c6d52765933673d&fich=3145057b-1e7e-46b8-977a-b8512bbd16ca.docx&Inline=true
126507,263586,"Pelo acesso a produtos não farmacológicos para o tratamento da doença inflamatória do intestino, nomeadamente a doença de Crohn",PCP,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e6a4a6d4e6a5a6c4f5451744d5464694d4330304d3249304c574a6c596a5974593245774e3251314d474d7a4e6a6c6d4c6d52765933673d&fich=62f66e94-17b0-43b4-beb6-ca07d50c369f.docx&Inline=true
126509,263584,"Elimina as posições remuneratórias intermédias dos enfermeiros, alterando pela segunda vez o Decreto-Lei n.º 71/2019, de 27 de maio",L,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a575a694f444a6b597a67744e32566a5a5330304e6d5a6d4c5467334d4759744d324d324f4751794e6d51305a6d51304c6d52765933673d&fich=efb82dc8-7ece-46ff-870f-3c68d26d4fd4.docx&Inline=true
126510,263602,Altera o Código do Imposto sobre o Rendimento das Pessoas Singulares,V,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e5455315a6a59784d4749744e32497859533030597a6c6c4c54677a4f4463744e6d526d4f444e684d7a59304d4441774c6d52765933673d&fich=555f610b-7b1a-4c9e-8387-6df83a364000.docx&Inline=true
126511,263604," Alteração ao Código do Imposto sobre o Rendimento das Pessoas Singulares, promovendo uma maior justiça fiscal",CH,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a6a526c4e4749774e5745744d7a45334e4330305954646d4c5467324e7a41745a6a45794e5459775a545a694e4749324c6d52765933673d&fich=f4e4b05a-3174-4a7f-8670-f12560e6b4b6.docx&Inline=true
126512,263605,Reduzir o IRS: valorizar o trabalho e libertar a nossa economia,IL,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45765a546b795a446c685a574d744f4751304d533030596d4d784c5745774e6d4d744d54686b4d6a5534596a45355a5449304c6d52765933673d&fich=e92d9aec-8d41-4bc1-a06c-18d258b19e24.docx&Inline=true
126513,263606,Altera as deduções especificas do IRS,BE,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d4576597a4e6a4f47557a4e7a63744d54517a4d4330304e3259334c5745355a474974596a51784f5745314d54566c4d54646b4c6d52765933673d&fich=c3c8e377-1430-47f7-a9db-b419a515e17d.docx&Inline=true
126514,263607,Altera a dedução de encargos com imóveis,BE,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d444932596a67304f544974595449795a5330304d7a46694c574979597a6b744e6a67344e5452694d4451324d7a41334c6d52765933673d&fich=026b8492-a22e-431b-b2c9-68854b046307.docx&Inline=true
126515,263608,Altera o Código do Imposto sobre o Rendimento das Pessoas Singulares,PCP,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d457659324e6b4e3255794f5451744f4459334d6930304d7a49334c5467314d475574595459304d5749794e6a59324d5441344c6d52765933673d&fich=ccd7e294-8672-4327-850e-a641b2666108.docx&Inline=true
126516,263610,Altera o Código do Imposto sobre o Rendimento das Pessoas Singulares,PS,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764d545a6a4f575a6b5a6a6b744e4751334e4330304d6d49344c574a6b5a6a49744d6d566b5957497a4d475a6b4d6d45784c6d52765933673d&fich=16c9fdf9-4d74-42b8-bdf2-2edab30fd2a1.docx&Inline=true
126517,263587,Recomenda que o Estado português não adira ao Tratado Pandémico,CH,http://app.parlamento.pt/webutils/docs/doc.pdf?path=6148523063484d364c793968636d356c6443397a6158526c63793959566b6c4d5a5763765247396a6457316c626e527663306c7561574e7059585270646d45764e474d354e544a6a4e7a49745a446b775a6930305a6a67354c5749785a4759744e5463774d7a55334d6a4d7a4e5449314c6d52765933673d&fich=4c952c72-d90f-4f89-b1df-570357233525.docx&Inline=true
