IniciativasXVI (2).Custom.1,IniAutorOutros.sigla,IniciativasXVI (2).IniciativasXVI (3) more than once.Custom,IniEventos.DataFase,IniId,IniDescTipo,VotadaOuNao
A,A,Solo,2024-06-27,263875,Proposta de Lei,Não Votada
A,A,Solo,2024-07-25,273968,Proposta de Lei,Votada
A,A,Solo,2024-12-16,314431,Proposta de Lei,Não Votada
A,A,Solo,2025-01-15,314571,Proposta de Lei,Votada
BE,G,Solo,2024-03-26,263497,Projeto de Resolução,Votada
BE,G,Solo,2024-03-26,263498,Projeto de Resolução,Votada
BE,G,Solo,2024-03-26,263501,Projeto de Resolução,Votada
BE,G,Solo,2024-03-26,263502,Projeto de Resolução,Votada
BE,G,Solo,2024-03-26,263503,Projeto de Resolução,Votada
BE,G,Solo,2024-03-26,263504,Projeto de Resolução,Votada
BE,G,Solo,2024-03-26,263506,Projeto de Lei,Não Votada
BE,G,Solo,2024-03-26,263507,Projeto de Lei,Não Votada
BE,G,Solo,2024-03-26,263508,Projeto de Lei,Não Votada
BE,G,Solo,2024-03-26,263509,Projeto de Lei,Não Votada
BE,G,Solo,2024-03-26,263510,Projeto de Lei,Não Votada
BE,G,Solo,2024-03-26,263511,Projeto de Lei,Não Votada
BE,G,Solo,2024-03-26,263512,Projeto de Lei,Não Votada
BE,G,Solo,2024-03-27,263522,Inquérito Parlamentar,Votada
BE,G,Solo,2024-04-08,263551,Projeto de Resolução,Não Votada
BE,G,Solo,2024-04-09,263554,Projeto de Lei,Não Votada
BE,G,Solo,2024-04-09,263555,Projeto de Resolução,Não Votada
BE,G,Solo,2024-04-09,263556,Projeto de Resolução,Não Votada
BE,G,Solo,2024-04-12,263561,Projeto de Resolução,Votada
BE,G,Solo,2024-04-12,263562,Projeto de Resolução,Não Votada
BE,G,Solo,2024-04-12,263566,Projeto de Resolução,Não Votada
BE,G,Solo,2024-04-12,263568,Projeto de Lei,Votada
BE,G,Solo,2024-04-12,263569,Projeto de Lei,Votada
BE,G,Solo,2024-04-15,263580,Projeto de Resolução,Não Votada
BE,G,Solo,2024-04-15,263583,Projeto de Resolução,Não Votada
BE,G,Solo,2024-04-16,263591,Projeto de Lei,Não Votada
BE,G,Solo,2024-04-16,263592,Projeto de Resolução,Votada
BE,G,Solo,2024-04-22,263606,Projeto de Lei,Votada
BE,G,Solo,2024-04-22,263607,Projeto de Lei,Votada
BE,G,Solo,2024-04-22,263611,Projeto de Resolução,Não Votada
BE,G,Solo,2024-04-22,263612,Projeto de Lei,Não Votada
BE,G,Solo,2024-04-26,263627,Projeto de Lei,Votada
BE,G,Solo,2024-05-03,263649,Projeto de Lei,Não Votada
BE,G,Solo,2024-05-03,263659,Projeto de Lei,Votada
BE,G,Solo,2024-05-03,263660,Projeto de Lei,Votada
BE,G,Solo,2024-05-08,263678,Projeto de Lei,Votada
BE,G,Solo,2024-05-08,263679,Projeto de Lei,Votada
BE,G,Solo,2024-05-08,263680,Projeto de Lei,Não Votada
BE,G,Solo,2024-05-08,263682,Projeto de Resolução,Não Votada
BE,G,Solo,2024-05-08,263683,Projeto de Resolução,Não Votada
BE,G,Solo,2024-05-08,263686,Projeto de Lei,Votada
BE,G,Solo,2024-05-08,263687,Projeto de Resolução,Não Votada
BE,G,Solo,2024-05-08,263688,Projeto de Resolução,Votada
BE,G,Solo,2024-05-08,263689,Projeto de Lei,Votada
BE,G,Solo,2024-05-08,263690,Projeto de Lei,Votada
BE,G,Solo,2024-05-08,263691,Projeto de Lei,Não Votada
BE,G,Solo,2024-05-08,263692,Projeto de Lei,Votada
BE,G,Solo,2024-05-08,263693,Projeto de Resolução,Votada
BE,G,Solo,2024-05-10,263712,Projeto de Resolução,Votada
BE,G,Solo,2024-05-10,263716,Projeto de Resolução,Votada
BE,G,Solo,2024-05-10,263717,Projeto de Resolução,Votada
BE,G,Solo,2024-05-10,263720,Projeto de Resolução,Votada
BE,G,Solo,2024-05-10,263722,Projeto de Lei,Votada
BE,G,Solo,2024-05-10,263723,Projeto de Lei,Votada
BE,G,Solo,2024-05-10,263724,Projeto de Resolução,Votada
BE,G,Solo,2024-05-10,263725,Projeto de Resolução,Não Votada
BE,G,Solo,2024-05-17,263742,Projeto de Lei,Votada
BE,G,Solo,2024-05-17,263758,Projeto de Lei,Votada
BE,G,Solo,2024-05-22,263765,Inquérito Parlamentar,Não Votada
BE,G,Solo,2024-05-23,263767,Projeto de Resolução,Não Votada
BE,G,Solo,2024-05-24,263771,Projeto de Lei,Votada
BE,G,Solo,2024-05-24,263774,Projeto de Resolução,Votada
BE,G,Solo,2024-05-24,263780,Projeto de Resolução,Votada
BE,G,Solo,2024-05-29,263787,Projeto de Lei,Não Votada
BE,G,Solo,2024-05-31,263791,Projeto de Resolução,Votada
BE,G,Solo,2024-05-31,263793,Projeto de Resolução,Votada
BE,G,Solo,2024-05-31,263795,Projeto de Resolução,Votada
BE,G,Solo,2024-06-04,263812,Projeto de Lei,Votada
BE,G,Solo,2024-06-04,263813,Projeto de Lei,Votada
BE,G,Solo,2024-06-04,263814,Projeto de Lei,Votada
BE,G,Solo,2024-06-06,263820,Projeto de Resolução,Votada
BE,G,Solo,2024-06-07,263828,Projeto de Lei,Votada
BE,G,Solo,2024-06-14,263843,Projeto de Resolução,Votada
BE,G,Solo,2024-06-14,263844,Projeto de Lei,Votada
BE,G,Solo,2024-06-14,263845,Projeto de Lei,Não Votada
BE,G,Solo,2024-06-14,263846,Projeto de Lei,Votada
BE,G,Solo,2024-06-21,263860,Projeto de Resolução,Não Votada
BE,G,Solo,2024-06-21,263861,Projeto de Lei,Votada
BE,G,Solo,2024-06-28,263886,Projeto de Resolução,Votada
BE,G,Solo,2024-06-28,263887,Projeto de Resolução,Votada
BE,G,Solo,2024-06-28,263888,Projeto de Resolução,Votada
