Quem,Sum of Iniciativas,Fase n
A,4,1. Entrada
A,3,10. Discussão generalidade
A,3,13. Votação na generalidade
A,2,18. Votação final global
A,4,2. Admissão
A,2,32. Lei (Publicação DR)
BE,89,1. Entrada
BE,49,10. Discussão generalidade
BE,48,13. Votação na generalidade
BE,5,18. Votação final global
BE,87,2. Admissão
BE,1,32. Lei (Publicação DR)
CDS-PP,2,1. Entrada
CDS-PP,1,10. Discussão generalidade
CDS-PP,1,13. Votação na generalidade
CDS-PP,0,18. Votação final global
CDS-PP,2,2. Admissão
CDS-PP,0,32. Lei (Publicação DR)
CH,68,1. Entrada
CH,48,10. Discussão generalidade
CH,45,13. Votação na generalidade
CH,0,18. Votação final global
CH,67,2. Admissão
CH,0,32. Lei (Publicação DR)
D,2,1. Entrada
D,2,10. Discussão generalidade
D,2,13. Votação na generalidade
D,2,18. Votação final global
D,2,2. Admissão
D,0,32. Lei (Publicação DR)
IL,49,1. Entrada
IL,29,10. Discussão generalidade
IL,24,13. Votação na generalidade
IL,0,18. Votação final global
IL,49,2. Admissão
IL,0,32. Lei (Publicação DR)
L,52,1. Entrada
L,39,10. Discussão generalidade
L,39,13. Votação na generalidade
L,5,18. Votação final global
L,45,2. Admissão
L,1,32. Lei (Publicação DR)
M,4,1. Entrada
M,0,10. Discussão generalidade
M,0,13. Votação na generalidade
M,0,18. Votação final global
M,3,2. Admissão
M,0,32. Lei (Publicação DR)
PAN,88,1. Entrada
PAN,55,10. Discussão generalidade
PAN,50,13. Votação na generalidade
PAN,6,18. Votação final global
PAN,88,2. Admissão
PAN,0,32. Lei (Publicação DR)
PCP,81,1. Entrada
PCP,33,10. Discussão generalidade
PCP,33,13. Votação na generalidade
PCP,3,18. Votação final global
PCP,81,2. Admissão
PCP,2,32. Lei (Publicação DR)
PS,36,1. Entrada
PS,18,10. Discussão generalidade
PS,18,13. Votação na generalidade
PS,13,18. Votação final global
PS,36,2. Admissão
PS,8,32. Lei (Publicação DR)
PSD,10,1. Entrada
PSD,8,10. Discussão generalidade
PSD,7,13. Votação na generalidade
PSD,4,18. Votação final global
PSD,10,2. Admissão
PSD,2,32. Lei (Publicação DR)
"PSD, CDS-PP",9,1. Entrada
"PSD, CDS-PP",7,10. Discussão generalidade
"PSD, CDS-PP",7,13. Votação na generalidade
"PSD, CDS-PP",6,18. Votação final global
"PSD, CDS-PP",9,2. Admissão
"PSD, CDS-PP",6,32. Lei (Publicação DR)
"PSD, PS, CH, IL, BE, PCP, L, CDS-PP",1,1. Entrada
"PSD, PS, CH, IL, BE, PCP, L, CDS-PP",0,10. Discussão generalidade
"PSD, PS, CH, IL, BE, PCP, L, CDS-PP",1,13. Votação na generalidade
"PSD, PS, CH, IL, BE, PCP, L, CDS-PP",1,18. Votação final global
"PSD, PS, CH, IL, BE, PCP, L, CDS-PP",1,2. Admissão
"PSD, PS, CH, IL, BE, PCP, L, CDS-PP",1,32. Lei (Publicação DR)
V,30,1. Entrada
V,25,10. Discussão generalidade
V,24,13. Votação na generalidade
V,15,18. Votação final global
V,30,2. Admissão
V,15,32. Lei (Publicação DR)
Z,1,1. Entrada
Z,0,10. Discussão generalidade
Z,0,13. Votação na generalidade
Z,0,18. Votação final global
Z,1,2. Admissão
Z,0,32. Lei (Publicação DR)
